E1,E2,E3
8.591532,0.0,0.0
33.973354,0.0,0.0
0.74537504,0.0,0.0
1.9261246,0.0,0.0
62.15696,0.0,180.61504
1161.0419,0.0,1941.121
38.140877,0.0,0.0
6.1801887,0.0,32.105236
54.378838,0.0,0.0
265.71033,0.0,0.0
5.986364,0.0,0.0
33.006847,0.0,0.0
118.77779,0.0,305.33078
192.27576,0.0,0.0
248.50737,0.0,551.2858
0.0,0.0,0.0
17.826527,0.0,69.34039
8.073513,0.0,0.0
2.009006,0.0,0.0
146.42084,0.0,362.72144
0.0,0.0,0.82585484
92.634705,0.0,250.8529
0.0,0.0,2.0828152
45.64772,0.0,0.0
145.78943,0.0,357.34805
1016.80774,0.0,0.0
0.041677326,0.0,0.0
135.9633,0.0,0.0
2160.3093,0.0,0.0
195.15007,0.0,457.04004
0.0,0.0,0.0
1.3398144,0.0,0.0
7.559218,0.0,44.36323
390.20938,0.0,0.0
1.4912434,0.0,0.0
535.2568,0.0,0.0
0.0,0.0,0.0
49.004025,0.0,0.0
0.5424005,0.0,0.0
0.5915055,0.0,0.0
29.554966,0.0,0.0
103.39154,0.0,0.0
3.7765424,0.0,26.950537
2.4959543,0.0,23.84966
0.0,0.0,2.8872623
2.0386758,0.0,0.0
97.47974,0.0,263.04764
1.2298447,0.0,0.0
404.4568,0.0,0.0
77.9192,0.0,218.6144
1.4650455,0.0,0.0
1163.132,0.0,0.0
0.0,0.0,0.09399229
7.8159614,0.0,39.867855
35.179512,0.0,0.0
6.521814,0.0,0.0
219.64342,0.0,0.0
164.34624,0.0,399.2654
10.993948,0.0,0.0
15.174831,0.0,0.0
2.4690325,0.0,0.0
0.0,0.0,6.246652
26.938494,0.0,0.0
466.2525,0.0,0.0
13.569502,0.0,0.0
21.142944,0.0,0.0
51.188965,0.0,0.0
1.7033992,0.0,0.0
0.0,0.0,4.289181
41.870415,0.0,0.0
764.77814,0.0,0.0
126.542015,0.0,0.0
1.7599156,0.0,0.0
451.42538,0.0,0.0
255.28291,0.0,0.0
477.52692,0.0,0.0
334.4616,0.0,700.6795
29.241266,0.0,0.0
1251.9642,0.0,0.0
1128.3326,0.0,0.0
4.2531023,0.0,0.0
0.0,0.0,0.21012837
2.263584,0.0,20.635002
4.6232443,0.0,0.0
3.1733913,0.0,0.0
65.17134,0.0,0.0
2.071672,0.0,0.0
0.0,0.0,3.6210628
1.544987,0.0,0.0
1.2929183,0.0,0.0
0.0,0.0,0.0
107.07732,0.0,280.39743
1.9050118,0.0,0.0
0.0,0.0,0.0
1.378323,0.0,0.0
21.946259,0.0,77.94224
104.88565,0.0,0.0
52.041668,0.0,0.0
876.785,0.0,1527.9027
283.8474,0.0,0.0
14.597988,0.0,0.0
64.31767,0.0,0.0
106.42852,0.0,0.0
158.31706,0.0,0.0
45.44112,0.0,142.37482
801.6881,0.0,0.0
0.0,0.0,5.6259837
0.8970412,0.0,0.0
184.06714,0.0,0.0
211.5605,0.0,489.0287
